Appliances,Bedrooms,DateListed,Description,FullBathrooms,HalfBathrooms,MlsId,MlsName,Price,Rooms,StreetAddress,ThreeQuarterBathrooms
"Free Standing Gas,Oven-Gas",4,2016-11-02 11:55:26,"Located in the desirable city of San Marino, near the prestigious Huntington Library, perched up and set back from the street, is this 4 bedrooms 4 baths whimsical traditional. It has been extensively",1,,316010241,ITECH,2485000.00,"bedrooms,bathrooms",555 Sierra Madre Boulevard,3
"Cooktop - Gas,Oven",3,2016-11-03 07:20:11,"Fantastic three bedroom townhome located in Cal Ritz-Park complex across from Singer Park. Conveniently located close to Old Town, Rose Parade route, Huntington Hospital. This unit is bright and light",1,1,316010261,ITECH,608000.00,"bedrooms,bathrooms",265 West California Boulevard #8,1
,0,2016-11-03 00:00:00,Great Opportunity! Buyer needs to check with City of Glendale and LA County Flood Control for possible specific uses of this property. Plans drawn in 2005 are available for viewing.,,,316010267,ITECH,150000.00,,0 Roselawn,
Built-In Gas,3,2016-11-05 06:16:15,"Charming, updated (approx 4 years ago) Spanish-style single family framed by lovely landscaping. Truly move-in ready. Centrally located, close to shopping, with easy freeway access. The remodeled kitc",1,,316010316,ITECH,540000.00,"bedrooms,bathrooms",766 Elmira Street,1
"Built-In Gas,Cooktop - Gas,Microwave,Oven",3,2016-11-07 00:00:00,"Set against the backdrop of the majestic San Gabriel Mountains, this beautiful single-level Spainsh home rests behind the gates of La Vina in Altadena. Enter through the lush courtyard to the front do",3,,316010376,ITECH,5000.00,"bedrooms,bathrooms",560 Chaparral Court,
RangeOven,3,2016-11-10 00:00:00,"Wonderful traditional 3 bedrooms, 2 bathrooms home located in Altadena. Granite counter-tops in the kitchen and baths, newer cabinets throughout. Light and bright living room with fireplace, formal di",2,,316010426,ITECH,650000.00,"bedrooms,bathrooms",391 West Harriet Street,
,5,2016-11-09 00:00:00,A dramatic backdrop of the San Gabriel Mountains and mature scenery frames the magnificent setting for this superb Mediterranean revival located in Altadena's premier estate area. Home to a celebrity ,5,,316010451,ITECH,2175000.00,"bedrooms,bathrooms",2079 Skyview Drive,1
,4,2016-11-11 00:00:00,"Beautiful one owner home in prime Montecito Park location. This single story residence features 4 bedrooms, 2.5 baths. New wood flooring throughout most of the house. Spacious master suite with ample ",1,1,316010501,ITECH,1150000.00,"bedrooms,bathrooms",3301 Vickers Drive,1
Oven,4,2016-11-13 00:00:00,Beautiful Hillcrest home for sale with 4 bedrooms (1 downstairs) and 3 baths. Upon entering you will be greeted with a beautiful living room with high ceilings along with dining area. Enjoy entertaini,3,,316010528,ITECH,569900.00,"bedrooms,bathrooms",27815 Zion Court,
Built-In BBQ,5,2016-11-14 00:00:00,"5042 Indianola Way is a one of a kind property, located on a desirable cul-de-sac in La Canada Flintridge, close to Paradise Canyon Elementary and town. This handsome single story traditional home fea",4,,316010536,ITECH,2600000.00,"bedrooms,bathrooms",5042 Indianola Way,
"Built-Ins,Microwave,Oven,RangeOven,Range Hood",2,2016-11-18 00:00:00,Located in the prestigious and desirable Franciscan Woods. This tri-level townhouse is exceptional in every aspect. The newly built front deck is ideal for relaxing and entertaining with amazing views,3,,316010634,ITECH,785000.00,"bedrooms,bathrooms",574 Garfield Avenue,
Built-In Gas,4,2016-11-17 00:00:00,"Nestled on a breathtaking secluded lot in the esteemed Vista De Oro neighborhood, this completely re-imagined mid-century home marries pristine contemporary features with luxury amenities that wash aw",3,1,316010650,ITECH,1299000.00,"bedrooms,bathrooms",20280 Allentown Drive,
Built-In Gas,4,2016-11-18 07:45:06,"ALARM IS ON.Two-story Victorian home with an inviting wraparound porch and lots of character throughout and many nice upgrades including copper plumbing, updated electrical and central air. Large livi",1,,316010702,ITECH,1025000.00,"bedrooms,bathrooms",545 Westgate Street,1
RangeOven,3,2016-10-04 00:00:00,"A decorator perfect home in Torrance Gardens awaits: enter this 1,611 sq. ft. gem from a welcoming brick front porch, step into the inviting living room with beautiful wood floors, and take your time ",2,99,SB16712658MR,CRMLS,779000.00,"bedrooms,bathrooms",1110 Felbar Avenue,
